name,address,phone_number,url,emails
Heart of Seattle Inc,"315 Seneca St Seattle, WA, 98101-2999 United States See other locations",(206) 623-5110,http://www.bernardsonseneca.com/,
"Seattle Sportservice, Inc","800 Occidental Ave S Seattle, WA, 98134-1200 United States See other locations",(306) 381-7863,http://www.lumenfield.com/,
"Portage Bay Foods, LLC","4130 Roosevelt Way NE Seattle, WA, 98105-6436 United States See other locations",(206) 547-8230,http://www.portagebaycafe.com/,"office@portagebaycafe.com,roosevelt@portagebaycafe.com,65th@portagebaycafe.com,southlakeunion@portagebaycafe.com,ballard@portagebaycafe.com,questions@portagebaycafe.com"
Pegasus Pizza & Pasta,"2768 Alki Ave SW Seattle, WA, 98116-2812 United States See other locations",(206) 932-4849,http://www.pegasuspizza.com/,
Pacific Influence Inc,"1401 3RD Ave Seattle, WA, 98101-2105 United States See other locations",(206) 623-4450,http://www.wildginger.net/,"mike@thetripledoor.net,info@wildginger.net,jason.smith@wildginger.net"
"Bean Box, Inc.","5050 1ST Ave S Ste 103 Seattle, WA, 98134-2400 United States",(206) 910-6161,http://www.beanbox.com/,"wholesale@beanbox.com,coffeelover@java.net,delight@beanbox.com,coffeelover@caffeine.org,support@beanbox.com,hello@beanbox.com,copyright@beanbox.com,legal@beanbox.com"
Melting Pot,"14 Mercer St Seattle, WA, 98109-4006 United States See other locations",(206) 378-1208,http://www.meltingpot.com/,
"Cafe Vita, LLC","813 5TH Ave N Seattle, WA, 98109-3907 United States See other locations",(206) 285-9662,,
E3 Co. LLP,"814 2ND Ave Ste 300 Seattle, WA, 98104-1529 United States",(206) 232-9292,,
Bill Speidel Enterprises Inc,"614 1ST Ave Ste 400 Seattle, WA, 98104-2255 United States",(206) 682-3705,http://www.undergroundtour.com/,info@undergroundtour.com
21 Mercer St Inc,"21 Mercer St Seattle, WA, 98109-4007 United States",(206) 282-1910,http://www.tsmchughs.com/,
Jessie Perry,"9304 Rainier Ave S Seattle, WA, 98118-5502 United States See other locations",(206) 285-4544,http://www.mcdonalds.com/,
K V Holdings Inc,"1109 1ST Ave Seattle, WA, 98101-2963 United States See other locations",(206) 587-2500,http://www.kiddvalley.com/,webmail@keepclam.com
D Miles Ltd,"2033 6TH Ave Ste 255 Seattle, WA, 98121-2580 United States",(206) 441-9729,,
Red Mills Burgers,"312 N 67TH St Seattle, WA, 98103-5210 United States See other locations",(206) 783-6362,http://www.redmillburgers.com/,
Ezells Fried Chicken Inc,"5703 S Fletcher St Seattle, WA, 98118-6008 United States See other locations",(206) 722-7240,http://www.ezellschicken.com/,Rubb@ezellschicken.com
"SCI Investment, Inc.","2401 Utah Ave S Seattle, WA, 98134-1436 United States See other locations",(503) 206-7822,http://www.starbucks.com/,
Galos Ballard LLC,"907 NW Ballard Way Ste 100 Seattle, WA, 98107-4607 United States See other locations",(425) 931-5974,http://www.galosusa.com/,
Starbucks Manufacturing Corporation,"2401 Utah Ave S 8TH FL Seattle, WA, 98134-1436 United States See other locations",(206) 684-8484,http://www.starbucks.com/,
Dueminuti Inc.,"412 Broadway E Seattle, WA, 98102-5010 United States",(206) 397-4375,http://www.duecucina.com/,info@duecucina.com
"Tai Tung, Inc","655 S King St Seattle, WA, 98104-2937 United States See other locations",(206) 622-7372,http://www.taitungrestaurant.com/,taitungrestaurant@msn.com
Austin Chase Coffee Incorporated,"4001 21ST Ave W Seattle, WA, 98199-1201 United States See other locations",(206) 281-8040,http://www.caffeappassionato.com/,"orders@caffeappassionato.com,filler@godaddy.com"
Serafina Inc.,"2043 Eastlake Ave E Seattle, WA, 98102-3509 United States",(206) 323-0807,http://www.serafinaseattle.com/,
Uptown Espresso Inc,"5501 6TH Ave S Seattle, WA, 98108-2503 United States See other locations",(206) 621-2045,http://www.velvetfoam.com/,
Marles Inc,"3040 NE 45TH St Seattle, WA, 98105-5002 United States See other locations",(425) 827-9566,,
Cho Lon Moi Corporation,"3400 Rainier Ave S Seattle, WA, 98144-6920 United States",(206) 723-9641,,
Leschi Food Mart Inc,"103 Lakeside Ave Seattle, WA, 98122-6541 United States",(206) 322-0700,http://www.leschimart.com/,"wine@leschimarket.com,beer@leschimarket.com"
"20th Century Lanes, Inc.","4505 39TH Ave SW Seattle, WA, 98116-4209 United States",(206) 932-3731,,
Taco Del Mar Franchising Corp,"604 Boren Ave N Ste B Seattle, WA, 98109-4440 United States See other locations",(206) 624-7060,http://www.tacodelmar.com/,
Espresso Elegance Inc,"122 Elliott Ave W Seattle, WA, 98119-4225 United States",(206) 282-8155,http://www.espressoelegance.com/,"events@espressoelegance.com,info@espressoelegance.com"
Snug Foods Inc,"3014 3RD Ave N Seattle, WA, 98109-1601 United States",(206) 284-3000,,
Caffe Fiore Coffee Roasting Company LLC,"1005 E Pike St Seattle, WA, 98122-3818 United States See other locations",(206) 709-4440,http://www.caffevita.com/,"shop@caffevita.com,info@caffevita.com,sbaldwin@caffevita.com"
Bella Tutta Offices,"4914 Rainier Ave S Seattle, WA, 98118-1744 United States See other locations",(206) 722-6400,http://www.tuttabella.com/,"issaquah@tuttabella.comFor,u003eissaquah@tuttabella.com,bellevue@tuttabella.com,u003esouthlakeunion@tuttabella.com,columbiacity@tuttabella.comFor,issaquah@tuttabella.com,u003ewallingford@tuttabella.com,wallingford@tuttabella.comFor,wallingford@tuttabella.com,southlakeunion@tuttabella.com,amici@tuttabella.com,u003ecolumbiacity@tuttabella.com,columbiacity@tuttabella.com,u003ebellevue@tuttabella.com"
Friends of Recovery Cafe,"2022 Boren Ave Seattle, WA, 98121-2703 United States",(206) 374-8731,http://www.recoverycafe.org/,
The Deluxe Bar & Grill,"625 Broadway E Seattle, WA, 98102-5025 United States See other locations",(206) 324-9697,http://www.deluxebarandgrill.com/,
D Lark Inc,"2401 4TH Ave S Seattle, WA, 98134-1925 United States See other locations",(206) 285-4544,http://corporate.mcdonalds.com/,"press@us.mcd.com,contact.privacy@us.mcd.com,Press@us.mcd.com,dmca@us.mcd.com"
Lumpinee Inc.,"23 Mercer St Seattle, WA, 98109-4007 United States See other locations",(206) 281-8883,,
"Miir Holdings, Llc.","3400 Stone Way N Ste 105 Seattle, WA, 98103-8983 United States See other locations",(206) 406-3626,http://www.miir.com/,"copyright@miir.com,warranty@miir.com,productqs@miir.com,hello@MiiR.com,john.smith@example.com,info@miir.com,accounts@miir.com,hello@miir.com"
Smeraldo Restaurant Inc,"411 1ST Ave S Seattle, WA, 98104-2860 United States",(206) 467-7797,http://www.ilterrazzocarmine.com/,
Joey Kitchen,"2603 NE 46TH St Seattle, WA, 98105-5041 United States",(206) 527-6188,http://www.joeyrestaurants.com/,"reception@joeyrestaurants.com,bar@joeyrestaurants.com,realestate@joeyrestaurants.com,purchasing@joeyrestaurants.com,marketing@joeyrestaurants.com,hr@joeyrestautants.com,privacy@joeyrestaurants.com,community@joeyrestaurants.com,hr@joeyrestaurants.com,ryigit@joeyrestaurants.com"
Eco Inc,"5439 Ballard Ave NW Seattle, WA, 98107-4052 United States",(206) 784-6611,,
Space Needle,"1050 W Ewing St Seattle, WA, 98119-1422 United States",(206) 905-2100,http://www.spaceneedle.com/,
Seattle Coffee Works Inc.,"1147 NW 53RD St Seattle, WA, 98107-3736 United States",(206) 340-8867,http://www.seattlecoffeeworks.com/,service@seattlecoffeeworks.com
"Pasta & Co., LLC","1530 Post Aly Ste 7 Seattle, WA, 98101-1566 United States See other locations",(206) 621-7545,http://www.pastaco.com/,customerlove@pastaco.com
Rositas Restaurant Inc,"7210 Woodlawn Ave NE Seattle, WA, 98115-5336 United States See other locations",(206) 523-3031,http://www.rositasrestaurant.com/,
Matador,"2221 NW Market St Seattle, WA, 98107-4025 United States",(206) 297-2855,http://www.matadorrestaurants.com/,"eastportland@matadorrestaurants.com,nwevents@matadorrestaurants.com,Meridian@matadorrestaurants.com,info@oppermelang.com,ballard@matadorrestaurants.com"
"Japonessa Seattle, LLC","1400 1ST Ave Seattle, WA, 98101-2004 United States",(206) 971-7979,http://www.japonessa.com/,
Elemental Pizza,"2630 NE University Vlg Seattle, WA, 98105-5015 United States",(206) 524-4930,http://www.elementalpizza.com/,
Altstadt LLC,"209 1ST Ave S Seattle, WA, 98104-3457 United States",(206) 602-6442,http://www.altstadtseattle.com/,
Buckleys On Queen Anne,"232 1ST Ave W Seattle, WA, 98119-4203 United States See other locations",(206) 691-0232,http://www.buckleyspubs.com/,buckleyspubs04@gmail.com
Ricci Inc,"601 SW 153RD St Seattle, WA, 98166-2216 United States See other locations",(206) 244-3555,http://www.angelosofburien.com/,admin@angelosofburien.com
Mary Queen Inc,"2912 NE 55TH St Seattle, WA, 98105-5532 United States",(206) 527-2770,http://www.queenmarytea.com/,"98105206-527-2770tearoom@queenmarytea.comFor,tearoom@queenmarytea.com,emporium@queenmarytea.com"
Burgermaster,"3040 NE 45TH St Seattle, WA, 98105-5098 United States",(206) 525-7100,http://www.burgermaster.biz/,
"Frankie & Jo's, LLC","1010 E Union St Seattle, WA, 98122-3825 United States",(206) 257-1676,http://www.frankieandjos.com/,hello@frankieandjos.com
Roxbury Lanes Inc,"2823 SW Roxbury St Seattle, WA, 98126-4148 United States",(206) 935-7400,http://www.roxburylanesbowl.com/,
Cafe Lago Incorporated,"2305 24TH Ave E Seattle, WA, 98112-2606 United States",(206) 329-8005,http://www.cafelago.com/,carla@cafelago.com
"Siam, Inc","1629 Eastlake Ave E Seattle, WA, 98102-3708 United States See other locations",(206) 323-8101,http://www.siamoneastlake.com/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
N O Crescent City Investors LP,"727 Pine St Seattle, WA, 98101-1815 United States",(206) 624-8524,http://www.ruthschris.com/,
Ba Bar LLC,"550 12TH Ave Seattle, WA, 98122-5509 United States",(206) 328-2030,http://www.babarseattle.com/,
Le Pichet,"1933 1ST Ave Seattle, WA, 98101-1010 United States",(206) 256-1499,http://www.lepichetseattle.com/,
Roman Casino,"11829 Renton Ave S Seattle, WA, 98178-3723 United States",(206) 772-4200,http://www.roman-casino.net/,
Cafe Solstice Inc,"4116 University Way NE Seattle, WA, 98105-6214 United States See other locations",(206) 675-0850,http://www.cafesolsticeseattle.com/,info@cafesolsticeseattle.com
Kigo Kitchen,"93 S Jackson St Seattle, WA, 98104-2818 United States",(206) 805-8844,http://www.kigokitchen.com/,
Garage,"1130 Broadway Seattle, WA, 98122-4202 United States",(206) 322-2296,http://www.bowlero.com/,"guestservice@bowlerocorp.com,GuestService@BowleroCorp.com,support@skillz.com"
Krema & Co LLC,"2425 33RD Ave W Ste B Seattle, WA, 98199-3255 United States",(206) 747-8437,http://www.nuttysquirrel.com/,"info@kremaco.com,catering@kremaco.com"
Lighthouse Roasters Inc,"400 N 43RD St Seattle, WA, 98103-7106 United States",(206) 633-4775,http://www.lighthouseroasters.com/,"ADMIN@LIGHTHOUSEROASTERS.COM,admin@lighthouseroasters.com"
The Leto Group Corporation,"1225 4TH Ave Seattle, WA, 98101-3005 United States See other locations",(206) 829-2280,http://www.heavyrestaurantgroup.com/,"katherineg@heavyrestaurantgroup.com,jobs@heavyrestaurantgroup.com,info@heavyrestaurantgroup.com,trinah@heavyrestaurantgroup.com,groupdining@heavyrestaurantgroup.com,kareng@heavyrestaurantgroup.com,donations@heavyrestaurantgroup.com,larryk@heavyrestaurantgroup.com"
Hou Inc,"2762 4TH Ave S Seattle, WA, 98134-1913 United States",(206) 623-8375,http://www.houlihans.com/,
AAA Bowls Unlimited Inc,"11819 Renton Ave S Seattle, WA, 98178-3723 United States",(206) 772-1220,http://www.miraclebowl.com/,"u003eprivacy@afternic.com,u003eprivacy@godaddy.com"
"Vito's, LLC","927 9TH Ave Seattle, WA, 98104-1264 United States",(206) 397-4053,http://www.vitosseattle.com/,"booking@vitosseattle.com,reservations@vitosseattle.com,info@vitosseattle.com"
Black Bottle LLC,"2600 1ST Ave Seattle, WA, 98121-1305 United States",(206) 441-1500,http://www.blackbottleseattle.com/,
"Dominic's, Inc.","9627 Des Moines Memorial Dr Seattle, WA, 98108-5033 United States",(206) 762-2535,,
Fulcrum Coffee,"4660 Ohio Ave S Seattle, WA, 98134-2360 United States",(425) 741-3405,http://www.fulcrumcoffee.com/,info@fulcrumcoffee.com
Pecado Bueno LLC,"4307 Fremont Ave N Seattle, WA, 98103-7223 United States",(206) 457-8837,http://www.pecadobueno.com/,
"Pike Street Hospitality Group, Inc.","1303 NE Boat St Seattle, WA, 98105-6701 United States",(206) 818-6937,http://www.pikestreethg.com/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
"Ye Olde Curiosity Shop, Inc.","1001 Alaskan Way Seattle, WA, 98104-1028 United States See other locations",(206) 682-5844,http://www.yeoldecuriosityshop.com/,"OldeCuriosityShop@yahoo.com,james@yeoldecuriosityshop.com"
Swannies,"109 S Washington St Seattle, WA, 98104-2521 United States",(206) 628-0303,http://www.swanniesinthepark.com/,
Nells Restaurant,"6804 E Green Lake Way N Seattle, WA, 98115-5417 United States",(206) 524-4044,http://www.nellsrestaurant.com/,"catering@nellsrestaurant.com,info@nellsrestaurant.com"
"Trou Down Restaurant III, Inc.","3701 NE 45TH St Seattle, WA, 98105-3909 United States",(206) 985-8545,http://www.jaksgrill.com/,
Husky Ice Cream Inc,"4721 California Ave SW Seattle, WA, 98116-4412 United States",(206) 937-2810,http://www.huskydeli.com/,
Conviviality Inc,"2901 E Madison St Seattle, WA, 98112-4213 United States",(206) 325-9100,,
Starbucks New Venture Company,"2401 Utah Ave S Seattle, WA, 98134-1436 United States See other locations",(800) 927-9801,http://www.starbucks.com/,
Douglas Tom Restaurants Inc,"2020 Western Ave Seattle, WA, 98121-2109 United States",(206) 443-6000,http://www.tomdouglas.com/,"amyr@tomdouglas.com,hotstove@tomdouglas.com,amyr@tomdouglas.co,20orders@tomdouglas.com,hotstoveradio@tomdouglas.com,office@tomdouglas.com,orders@tomdouglas.com,dahliabakery@tomdouglas.com,rubwithlove@tomdouglas.com,hr@tomdouglas.com"
Buca Di Beppo,"701 9TH Ave N Seattle, WA, 98109-4309 United States See other locations",(206) 244-2288,http://www.jimandsusangetmarried.com/,"jimandsusan@outlook.com,milioanedeprieteni@gmail.com"
Comida Inc,"2901 E Madison St Seattle, WA, 98112-4213 United States",(206) 325-9100,http://www.comida.com/,
Big Food Inc,"3507 Fremont Pl N Seattle, WA, 98103-8622 United States See other locations",(206) 634-2575,http://www.bigfoodmobile.com/,
Stanfords Northgate LLC,"401 NE Northgate Way Seattle, WA, 98125-6036 United States",(206) 834-6277,,
Big Time Brewery Company Inc,"4133 University Way NE Seattle, WA, 98105-6213 United States",(206) 545-4509,http://www.bigtimebrewery.com/,"sales@bigtimebrewery.com,comments@bigtimebrewery.com"
Agua Verde Inc,"1303 NE Boat St Seattle, WA, 98105-6701 United States",(206) 545-8570,http://www.aguaverde.com/,
"C and C Sandwiches I, LLC","1200 Alki Ave SW Unit 2 Seattle, WA, 98116-4882 United States See other locations",(206) 935-7621,http://www.jimmyjohns.com/,"feedback@jimmyjohns.com,jjfoundation@inspirebrands.com"
The Pink Door Inc,"1919 Post Aly Seattle, WA, 98101-1014 United States",(206) 443-3241,http://www.thepinkdoor.net/,"info@thepinkdoor.net,booking@thepinkdoor.net"
Kimpton Inc,"1100 5TH Ave Seattle, WA, 98101-3001 United States",(206) 624-5500,http://www.tulio.com/,Hello@Tulio.com
Eat LLC,"832 S 105TH St Seattle, WA, 98168-1551 United States See other locations",(206) 246-7931,,
